"","Negative","No Change","Positive","Node","Region","Climate Driver","Press","Scenario","Net Prediction"
"224",0,100,0,"Ice terraces","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"225",52.22,0,47.78,"Large pelagic algae","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-4.44
"226",89.78,0,10.22,"Light","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-79.56
"227",69.74,0,30.26,"Marine snow","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-39.48
"228",0,100,0,"MLD","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"229",0,0,100,"Nutrients","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",100
"230",49.68,0,50.32,"Other grazers (competition)","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0.640000000000001
"231",54.68,0,45.32,"POM","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-9.35999999999999
"232",16.16,0,83.84,"Predation risk","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",67.68
"233",51.72,0,48.28,"Sea-ice algae","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-3.44
"234",0,100,0,"Sea-ice concentration","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"235",0,100,0,"Sea-ice convergence","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"236",0,100,0,"Sea-ice thickness","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"237",56.48,0,43.52,"Small copepods","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-12.96
"238",48.76,0,51.24,"Small pelagic algae","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",2.48
"239",0,100,0,"Snow","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"240",100,0,0,"Depth","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-100
"241",0,0,100,"Latitude","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",100
"242",0,0,100,"Autumn primary production","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",100
"243",0,100,0,"Temperature","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"244",0,100,0,"Wind stress","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"245",53.4,0,46.6,"Growth","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-6.8
"246",65.4,0,34.6,"Survival","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-30.8
"247",55,0,45,"DMS","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-10
"248",0,0,100,"Glacial melt","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",100
"249",49.66,0,50.34,"Ice terraces","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0.68
"250",61.92,0,38.08,"Large pelagic algae","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-23.84
"251",39.64,0,60.36,"Light","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",20.72
"252",59.24,0,40.76,"Marine snow","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-18.48
"253",71.06,0,28.94,"MLD","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-42.12
"254",45.96,0,54.04,"Nutrients","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",8.08
"255",42.86,0,57.14,"Other grazers (competition)","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",14.28
"256",34.9,0,65.1,"POM","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",30.2
"257",65.4,0,34.6,"Predation risk","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-30.8
"258",43.48,0,56.52,"Sea-ice algae","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",13.04
"259",49.66,0,50.34,"Sea-ice concentration","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0.68
"260",49.66,0,50.34,"Sea-ice convergence","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0.68
"261",63.4,0,36.6,"Sea-ice thickness","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-26.8
"262",38.8,0,61.2,"Small copepods","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",22.4
"263",44.34,0,55.66,"Small pelagic algae","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",11.32
"264",0,100,0,"Snow","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0
"265",100,0,0,"Depth","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-100
"266",0,0,100,"Latitude","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",100
"267",0,100,0,"Autumn primary production","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0
"268",0,0,100,"Temperature","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",100
"269",0,100,0,"Wind stress","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0
"270",54.34,0,45.66,"Growth","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-8.67999999999999
"271",54.34,0,45.66,"Survival","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-8.67999999999999
"272",54.18,0,45.82,"DMS","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-8.35999999999999
"273",0,100,0,"Glacial melt","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"274",0,0,100,"Ice terraces","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"275",42.96,0,57.04,"Large pelagic algae","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",14.08
"276",93.98,0,6.02,"Light","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-87.96
"277",70.66,0,29.34,"Marine snow","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-41.32
"278",0,0,100,"MLD","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"279",0,0,100,"Nutrients","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"280",52.72,0,47.28,"Other grazers (competition)","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-5.44
"281",52.72,0,47.28,"POM","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-5.44
"282",54.34,0,45.66,"Predation risk","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-8.67999999999999
"283",66.54,0,33.46,"Sea-ice algae","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-33.08
"284",0,100,0,"Sea-ice concentration","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"285",0,0,100,"Sea-ice convergence","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"286",0,0,100,"Sea-ice thickness","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"287",66.08,0,33.92,"Small copepods","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-32.16
"288",60.62,0,39.38,"Small pelagic algae","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-21.24
"289",0,100,0,"Snow","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"290",100,0,0,"Depth","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-100
"291",0,0,100,"Latitude","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"292",0,100,0,"Autumn primary production","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"293",0,100,0,"Temperature","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"294",0,0,100,"Wind stress","High-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"295",14.12,0,85.88,"Growth","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",71.76
"296",54.76,0,45.24,"Survival","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-9.52
"297",33.6,0,66.4,"DMS","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",32.8
"298",0,100,0,"Glacial melt","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"299",0,100,0,"Ice terraces","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"300",60.02,0,39.98,"Large pelagic algae","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-20.04
"301",24.52,0,75.48,"Light","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",50.96
"302",85.02,0,14.98,"Marine snow","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-70.04
"303",0,100,0,"MLD","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"304",0,0,100,"Nutrients","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",100
"305",35.66,0,64.34,"Other grazers (competition)","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",28.68
"306",16.94,0,83.06,"POM","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",66.12
"307",54.76,0,45.24,"Predation risk","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-9.52
"308",13.9,0,86.1,"Sea-ice algae","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",72.2
"309",0,100,0,"Sea-ice concentration","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"310",0,100,0,"Sea-ice convergence","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"311",0,100,0,"Sea-ice thickness","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"312",48.94,0,51.06,"Small copepods","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",2.12
"313",27.22,0,72.78,"Small pelagic algae","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",45.56
"314",0,100,0,"Snow","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"315",100,0,0,"Depth","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-100
"316",100,0,0,"Latitude","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-100
"317",100,0,0,"Autumn primary production","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-100
"318",0,100,0,"Temperature","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"319",0,100,0,"Wind stress","Low-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"320",31.7,0,68.3,"Growth","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",36.6
"321",23.84,0,76.16,"Survival","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",52.32
"322",40.78,0,59.22,"DMS","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",18.44
"323",100,0,0,"Glacial melt","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"324",50.34,0,49.66,"Ice terraces","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-0.68
"325",43.86,0,56.14,"Large pelagic algae","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",12.28
"326",64.46,0,35.54,"Light","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-28.92
"327",66.64,0,33.36,"Marine snow","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-33.28
"328",28.94,0,71.06,"MLD","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",42.12
"329",15.02,0,84.98,"Nutrients","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",69.96
"330",52.06,0,47.94,"Other grazers (competition)","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-4.12
"331",50.08,0,49.92,"POM","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-0.160000000000011
"332",23.84,0,76.16,"Predation risk","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",52.32
"333",43.76,0,56.24,"Sea-ice algae","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",12.48
"334",50.34,0,49.66,"Sea-ice concentration","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-0.68
"335",50.34,0,49.66,"Sea-ice convergence","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-0.68
"336",36.6,0,63.4,"Sea-ice thickness","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",26.8
"337",62.6,0,37.4,"Small copepods","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-25.2
"338",46.72,0,53.28,"Small pelagic algae","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",6.56000000000001
"339",0,100,0,"Snow","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",0
"340",100,0,0,"Depth","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"341",100,0,0,"Latitude","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"342",0,100,0,"Autumn primary production","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",0
"343",100,0,0,"Temperature","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"344",0,100,0,"Wind stress","Low-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",0
"345",23.48,0,76.52,"Growth","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",53.04
"346",23.48,0,76.52,"Survival","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",53.04
"347",37.44,0,62.56,"DMS","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",25.12
"348",0,100,0,"Glacial melt","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"349",100,0,0,"Ice terraces","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"350",64.24,0,35.76,"Large pelagic algae","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-28.48
"351",10.24,0,89.76,"Light","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",79.52
"352",62.68,0,37.32,"Marine snow","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-25.36
"353",100,0,0,"MLD","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"354",50.96,0,49.04,"Nutrients","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-1.92000000000001
"355",38.98,0,61.02,"Other grazers (competition)","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",22.04
"356",27.12,0,72.88,"POM","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",45.76
"357",23.48,0,76.52,"Predation risk","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",53.04
"358",16.6,0,83.4,"Sea-ice algae","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",66.8
"359",0,100,0,"Sea-ice concentration","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"360",100,0,0,"Sea-ice convergence","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"361",100,0,0,"Sea-ice thickness","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"362",37.16,0,62.84,"Small copepods","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",25.68
"363",26.82,0,73.18,"Small pelagic algae","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",46.36
"364",0,100,0,"Snow","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"365",100,0,0,"Depth","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"366",100,0,0,"Latitude","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"367",0,100,0,"Autumn primary production","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"368",0,100,0,"Temperature","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"369",100,0,0,"Wind stress","Low-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"370",25.48,0,74.52,"Growth","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",49.04
"371",7.38,0,92.62,"Survival","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",85.24
"372",18.6,0,81.4,"DMS","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",62.8
"373",0,100,0,"Glacial melt","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"374",0,100,0,"Ice terraces","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"375",45.24,0,54.76,"Large pelagic algae","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",9.52
"376",37.8,0,62.2,"Light","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",24.4
"377",70.72,0,29.28,"Marine snow","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-41.44
"378",0,100,0,"MLD","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"379",0,0,100,"Nutrients","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",100
"380",18.94,0,81.06,"Other grazers (competition)","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",62.12
"381",47.18,0,52.82,"POM","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",5.64
"382",7.38,0,92.62,"Predation risk","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",85.24
"383",19.84,0,80.16,"Sea-ice algae","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",60.32
"384",0,100,0,"Sea-ice concentration","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"385",0,100,0,"Sea-ice convergence","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"386",0,100,0,"Sea-ice thickness","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"387",43,0,57,"Small copepods","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",14
"388",25.42,0,74.58,"Small pelagic algae","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",49.16
"389",0,100,0,"Snow","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"390",100,0,0,"Depth","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-100
"391",100,0,0,"Latitude","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-100
"392",0,0,100,"Autumn primary production","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",100
"393",0,100,0,"Temperature","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"394",0,100,0,"Wind stress","Low-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"395",46.04,0,53.96,"Growth","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",7.91999999999999
"396",59.38,0,40.62,"Survival","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-18.76
"397",44.6,0,55.4,"DMS","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",10.8
"398",0,0,100,"Glacial melt","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",100
"399",49.66,0,50.34,"Ice terraces","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0.68
"400",59.12,0,40.88,"Large pelagic algae","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-18.24
"401",26.98,0,73.02,"Light","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",46.04
"402",60.4,0,39.6,"Marine snow","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-20.8
"403",71.06,0,28.94,"MLD","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-42.12
"404",45.96,0,54.04,"Nutrients","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",8.08
"405",34.64,0,65.36,"Other grazers (competition)","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",30.72
"406",33.28,0,66.72,"POM","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",33.44
"407",59.38,0,40.62,"Predation risk","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-18.76
"408",34.88,0,65.12,"Sea-ice algae","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",30.24
"409",49.66,0,50.34,"Sea-ice concentration","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0.68
"410",49.66,0,50.34,"Sea-ice convergence","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0.68
"411",63.4,0,36.6,"Sea-ice thickness","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-26.8
"412",36.32,0,63.68,"Small copepods","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",27.36
"413",38.26,0,61.74,"Small pelagic algae","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",23.48
"414",0,100,0,"Snow","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0
"415",100,0,0,"Depth","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-100
"416",100,0,0,"Latitude","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-100
"417",0,100,0,"Autumn primary production","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0
"418",0,0,100,"Temperature","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",100
"419",0,100,0,"Wind stress","Low-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0
"420",43.56,0,56.44,"Growth","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",12.88
"421",43.56,0,56.44,"Survival","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",12.88
"422",39.02,0,60.98,"DMS","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",21.96
"423",0,100,0,"Glacial melt","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"424",0,0,100,"Ice terraces","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"425",39.32,0,60.68,"Large pelagic algae","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",21.36
"426",79.2,0,20.8,"Light","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-58.4
"427",73.1,0,26.9,"Marine snow","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-46.2
"428",0,0,100,"MLD","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"429",0,0,100,"Nutrients","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"430",37.4,0,62.6,"Other grazers (competition)","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",25.2
"431",48.6,0,51.4,"POM","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",2.8
"432",43.56,0,56.44,"Predation risk","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",12.88
"433",53.48,0,46.52,"Sea-ice algae","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-6.96
"434",0,100,0,"Sea-ice concentration","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"435",0,0,100,"Sea-ice convergence","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"436",0,0,100,"Sea-ice thickness","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"437",62.14,0,37.86,"Small copepods","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-24.28
"438",51.24,0,48.76,"Small pelagic algae","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-2.48
"439",0,100,0,"Snow","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"440",100,0,0,"Depth","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-100
"441",100,0,0,"Latitude","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",-100
"442",0,100,0,"Autumn primary production","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"443",0,100,0,"Temperature","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"444",0,0,100,"Wind stress","Low-lat shelf","Wind stress","Positive","Future: climate driver sensitivity analysis",100
