"","Negative","No Change","Positive","Node","Region","Model","Experiment","Climate scenario","Net Prediction"
"1",55.46,0,44.54,"Growth","Open ocean","Evidenced","Future climate","A",-10.92
"2",38.96,0,61.04,"Survival","Open ocean","Evidenced","Future climate","A",22.08
"3",36.5,0,63.5,"DMS","Open ocean","Evidenced","Future climate","A",27
"4",50.36,0,49.64,"Ice terraces","Open ocean","Evidenced","Future climate","A",-0.720000000000006
"5",41.64,0,58.36,"Large pelagic algae","Open ocean","Evidenced","Future climate","A",16.72
"6",44.54,0,55.46,"Light","Open ocean","Evidenced","Future climate","A",10.92
"7",31.02,0,68.98,"Marine snow","Open ocean","Evidenced","Future climate","A",37.96
"8",0,0,100,"MLD","Open ocean","Evidenced","Future climate","A",100
"9",30.46,0,69.54,"Nutrients","Open ocean","Evidenced","Future climate","A",39.08
"10",25.48,0,74.52,"Other grazers (competition)","Open ocean","Evidenced","Future climate","A",49.04
"11",56.22,0,43.78,"POM","Open ocean","Evidenced","Future climate","A",-12.44
"12",38.96,0,61.04,"Predation risk","Open ocean","Evidenced","Future climate","A",22.08
"13",43.8,0,56.2,"Sea-ice algae","Open ocean","Evidenced","Future climate","A",12.4
"14",100,0,0,"Sea-ice concentration","Open ocean","Evidenced","Future climate","A",-100
"15",50.36,0,49.64,"Sea-ice convergence","Open ocean","Evidenced","Future climate","A",-0.720000000000006
"16",79.2,0,20.8,"Sea-ice thickness","Open ocean","Evidenced","Future climate","A",-58.4
"17",36.7,0,63.3,"Small copepods","Open ocean","Evidenced","Future climate","A",26.6
"18",46.26,0,53.74,"Small pelagic algae","Open ocean","Evidenced","Future climate","A",7.48
"19",0,100,0,"Snow","Open ocean","Evidenced","Future climate","A",0
"20",0,0,100,"Depth","Open ocean","Evidenced","Future climate","A",100
"21",100,0,0,"Latitude","Open ocean","Evidenced","Future climate","A",-100
"22",0,0,100,"Autumn primary production","Open ocean","Evidenced","Future climate","A",100
"23",0,0,100,"Temperature","Open ocean","Evidenced","Future climate","A",100
"24",0,0,100,"Wind stress","Open ocean","Evidenced","Future climate","A",100
"25",50.38,0,49.62,"Growth","Open ocean","Evidenced","Future climate","B",-0.760000000000005
"26",65.2,0,34.8,"Survival","Open ocean","Evidenced","Future climate","B",-30.4
"27",41.88,0,58.12,"DMS","Open ocean","Evidenced","Future climate","B",16.24
"28",50.36,0,49.64,"Ice terraces","Open ocean","Evidenced","Future climate","B",-0.720000000000006
"29",45.68,0,54.32,"Large pelagic algae","Open ocean","Evidenced","Future climate","B",8.64
"30",40.36,0,59.64,"Light","Open ocean","Evidenced","Future climate","B",19.28
"31",38.36,0,61.64,"Marine snow","Open ocean","Evidenced","Future climate","B",23.28
"32",0,0,100,"MLD","Open ocean","Evidenced","Future climate","B",100
"33",30.46,0,69.54,"Nutrients","Open ocean","Evidenced","Future climate","B",39.08
"34",29.8,0,70.2,"Other grazers (competition)","Open ocean","Evidenced","Future climate","B",40.4
"35",42.9,0,57.1,"POM","Open ocean","Evidenced","Future climate","B",14.2
"36",65.2,0,34.8,"Predation risk","Open ocean","Evidenced","Future climate","B",-30.4
"37",41.08,0,58.92,"Sea-ice algae","Open ocean","Evidenced","Future climate","B",17.84
"38",100,0,0,"Sea-ice concentration","Open ocean","Evidenced","Future climate","B",-100
"39",50.36,0,49.64,"Sea-ice convergence","Open ocean","Evidenced","Future climate","B",-0.720000000000006
"40",79.2,0,20.8,"Sea-ice thickness","Open ocean","Evidenced","Future climate","B",-58.4
"41",39.08,0,60.92,"Small copepods","Open ocean","Evidenced","Future climate","B",21.84
"42",46.9,0,53.1,"Small pelagic algae","Open ocean","Evidenced","Future climate","B",6.2
"43",0,100,0,"Snow","Open ocean","Evidenced","Future climate","B",0
"44",0,0,100,"Depth","Open ocean","Evidenced","Future climate","B",100
"45",100,0,0,"Latitude","Open ocean","Evidenced","Future climate","B",-100
"46",100,0,0,"Autumn primary production","Open ocean","Evidenced","Future climate","B",-100
"47",0,0,100,"Temperature","Open ocean","Evidenced","Future climate","B",100
"48",0,0,100,"Wind stress","Open ocean","Evidenced","Future climate","B",100
"49",73.7,0,26.3,"Growth","Open ocean","Evidenced","Future climate","B.2",-47.4
"50",88.68,0,11.32,"Survival","Open ocean","Evidenced","Future climate","B.2",-77.36
"51",59.68,0,40.32,"DMS","Open ocean","Evidenced","Future climate","B.2",-19.36
"52",45.1,0,54.9,"Large pelagic algae","Open ocean","Evidenced","Future climate","B.2",9.8
"53",42.28,0,57.72,"Light","Open ocean","Evidenced","Future climate","B.2",15.44
"54",24.66,0,75.34,"Marine snow","Open ocean","Evidenced","Future climate","B.2",50.68
"55",0,0,100,"MLD","Open ocean","Evidenced","Future climate","B.2",100
"56",50.38,0,49.62,"Nutrients","Open ocean","Evidenced","Future climate","B.2",-0.760000000000005
"57",32.92,0,67.08,"Other grazers (competition)","Open ocean","Evidenced","Future climate","B.2",34.16
"58",44.82,0,55.18,"POM","Open ocean","Evidenced","Future climate","B.2",10.36
"59",88.66,0.02,11.32,"Predation risk","Open ocean","Evidenced","Future climate","B.2",-77.34
"60",26.3,0,73.7,"Small copepods","Open ocean","Evidenced","Future climate","B.2",47.4
"61",64.34,0,35.66,"Small pelagic algae","Open ocean","Evidenced","Future climate","B.2",-28.68
"62",0,100,0,"Snow","Open ocean","Evidenced","Future climate","B.2",0
"63",0,0,100,"Depth","Open ocean","Evidenced","Future climate","B.2",100
"64",100,0,0,"Latitude","Open ocean","Evidenced","Future climate","B.2",-100
"65",100,0,0,"Autumn primary production","Open ocean","Evidenced","Future climate","B.2",-100
"66",0,0,100,"Temperature","Open ocean","Evidenced","Future climate","B.2",100
"67",0,0,100,"Wind stress","Open ocean","Evidenced","Future climate","B.2",100
"68",67.56,0,32.44,"Growth","Open ocean","Evidenced","Future climate","C",-35.12
"69",51.3,0,48.7,"Survival","Open ocean","Evidenced","Future climate","C",-2.60000000000001
"70",53.06,0,46.94,"DMS","Open ocean","Evidenced","Future climate","C",-6.12
"71",0,0,100,"Ice terraces","Open ocean","Evidenced","Future climate","C",100
"72",34.06,0,65.94,"Large pelagic algae","Open ocean","Evidenced","Future climate","C",31.88
"73",78.4,0,21.6,"Light","Open ocean","Evidenced","Future climate","C",-56.8
"74",47.2,0,52.8,"Marine snow","Open ocean","Evidenced","Future climate","C",5.60000000000001
"75",50.6,0,49.4,"MLD","Open ocean","Evidenced","Future climate","C",-1.2
"76",75.2,0,24.8,"Nutrients","Open ocean","Evidenced","Future climate","C",-50.4
"77",62.86,0,37.14,"Other grazers (competition)","Open ocean","Evidenced","Future climate","C",-25.72
"78",76.94,0,23.06,"POM","Open ocean","Evidenced","Future climate","C",-53.88
"79",51.3,0,48.7,"Predation risk","Open ocean","Evidenced","Future climate","C",-2.60000000000001
"80",80.44,0,19.56,"Sea-ice algae","Open ocean","Evidenced","Future climate","C",-60.88
"81",0,0,100,"Sea-ice concentration","Open ocean","Evidenced","Future climate","C",100
"82",0,0,100,"Sea-ice convergence","Open ocean","Evidenced","Future climate","C",100
"83",0,0,100,"Sea-ice thickness","Open ocean","Evidenced","Future climate","C",100
"84",67.86,0,32.14,"Small copepods","Open ocean","Evidenced","Future climate","C",-35.72
"85",66.16,0,33.84,"Small pelagic algae","Open ocean","Evidenced","Future climate","C",-32.32
"86",0,100,0,"Snow","Open ocean","Evidenced","Future climate","C",0
"87",0,0,100,"Depth","Open ocean","Evidenced","Future climate","C",100
"88",100,0,0,"Latitude","Open ocean","Evidenced","Future climate","C",-100
"89",0,0,100,"Autumn primary production","Open ocean","Evidenced","Future climate","C",100
"90",100,0,0,"Temperature","Open ocean","Evidenced","Future climate","C",-100
"91",0,0,100,"Wind stress","Open ocean","Evidenced","Future climate","C",100
"92",62.3,0,37.7,"Growth","Open ocean","Evidenced","Future climate","D",-24.6
"93",75.4,0,24.6,"Survival","Open ocean","Evidenced","Future climate","D",-50.8
"94",57.86,0,42.14,"DMS","Open ocean","Evidenced","Future climate","D",-15.72
"95",0,0,100,"Ice terraces","Open ocean","Evidenced","Future climate","D",100
"96",37.66,0,62.34,"Large pelagic algae","Open ocean","Evidenced","Future climate","D",24.68
"97",74.86,0,25.14,"Light","Open ocean","Evidenced","Future climate","D",-49.72
"98",54.94,0,45.06,"Marine snow","Open ocean","Evidenced","Future climate","D",-9.88
"99",50.6,0,49.4,"MLD","Open ocean","Evidenced","Future climate","D",-1.2
"100",75.2,0,24.8,"Nutrients","Open ocean","Evidenced","Future climate","D",-50.4
"101",68.22,0,31.78,"Other grazers (competition)","Open ocean","Evidenced","Future climate","D",-36.44
"102",66.66,0,33.34,"POM","Open ocean","Evidenced","Future climate","D",-33.32
"103",75.4,0,24.6,"Predation risk","Open ocean","Evidenced","Future climate","D",-50.8
"104",78.4,0,21.6,"Sea-ice algae","Open ocean","Evidenced","Future climate","D",-56.8
"105",0,0,100,"Sea-ice concentration","Open ocean","Evidenced","Future climate","D",100
"106",0,0,100,"Sea-ice convergence","Open ocean","Evidenced","Future climate","D",100
"107",0,0,100,"Sea-ice thickness","Open ocean","Evidenced","Future climate","D",100
"108",71.06,0,28.94,"Small copepods","Open ocean","Evidenced","Future climate","D",-42.12
"109",67.04,0,32.96,"Small pelagic algae","Open ocean","Evidenced","Future climate","D",-34.08
"110",0,100,0,"Snow","Open ocean","Evidenced","Future climate","D",0
"111",0,0,100,"Depth","Open ocean","Evidenced","Future climate","D",100
"112",100,0,0,"Latitude","Open ocean","Evidenced","Future climate","D",-100
"113",100,0,0,"Autumn primary production","Open ocean","Evidenced","Future climate","D",-100
"114",100,0,0,"Temperature","Open ocean","Evidenced","Future climate","D",-100
"115",0,0,100,"Wind stress","Open ocean","Evidenced","Future climate","D",100
"116",61.4,0,38.6,"Growth","High-lat shelf","Evidenced","Future climate","A",-22.8
"117",57.24,0,42.76,"Survival","High-lat shelf","Evidenced","Future climate","A",-14.48
"118",51.24,0,48.76,"DMS","High-lat shelf","Evidenced","Future climate","A",-2.48
"119",0,0,100,"Glacial melt","High-lat shelf","Evidenced","Future climate","A",100
"120",22.7,0,77.3,"Ice terraces","High-lat shelf","Evidenced","Future climate","A",54.6
"121",49.54,0,50.46,"Large pelagic algae","High-lat shelf","Evidenced","Future climate","A",0.920000000000009
"122",62.84,0,37.16,"Light","High-lat shelf","Evidenced","Future climate","A",-25.68
"123",56.04,0,43.96,"Marine snow","High-lat shelf","Evidenced","Future climate","A",-12.08
"124",46.48,0,53.52,"MLD","High-lat shelf","Evidenced","Future climate","A",7.04000000000001
"125",31.9,0,68.1,"Nutrients","High-lat shelf","Evidenced","Future climate","A",36.2
"126",40.72,0,59.28,"Other grazers (competition)","High-lat shelf","Evidenced","Future climate","A",18.56
"127",50.24,0,49.76,"POM","High-lat shelf","Evidenced","Future climate","A",-0.479999999999997
"128",57.24,0,42.76,"Predation risk","High-lat shelf","Evidenced","Future climate","A",-14.48
"129",57.58,0,42.42,"Sea-ice algae","High-lat shelf","Evidenced","Future climate","A",-15.16
"130",49.66,0,50.34,"Sea-ice concentration","High-lat shelf","Evidenced","Future climate","A",0.68
"131",22.7,0,77.3,"Sea-ice convergence","High-lat shelf","Evidenced","Future climate","A",54.6
"132",45.02,0,54.98,"Sea-ice thickness","High-lat shelf","Evidenced","Future climate","A",9.96
"133",47.94,0,52.06,"Small copepods","High-lat shelf","Evidenced","Future climate","A",4.12
"134",52.14,0,47.86,"Small pelagic algae","High-lat shelf","Evidenced","Future climate","A",-4.28
"135",0,100,0,"Snow","High-lat shelf","Evidenced","Future climate","A",0
"136",100,0,0,"Depth","High-lat shelf","Evidenced","Future climate","A",-100
"137",0,0,100,"Latitude","High-lat shelf","Evidenced","Future climate","A",100
"138",0,0,100,"Autumn primary production","High-lat shelf","Evidenced","Future climate","A",100
"139",0,0,100,"Temperature","High-lat shelf","Evidenced","Future climate","A",100
"140",0,0,100,"Wind stress","High-lat shelf","Evidenced","Future climate","A",100
"141",55.82,0,44.18,"Growth","High-lat shelf","Evidenced","Future climate","B",-11.64
"142",74.48,0,25.52,"Survival","High-lat shelf","Evidenced","Future climate","B",-48.96
"143",56.46,0,43.54,"DMS","High-lat shelf","Evidenced","Future climate","B",-12.92
"144",0,0,100,"Glacial melt","High-lat shelf","Evidenced","Future climate","B",100
"145",22.7,0,77.3,"Ice terraces","High-lat shelf","Evidenced","Future climate","B",54.6
"146",54.08,0,45.92,"Large pelagic algae","High-lat shelf","Evidenced","Future climate","B",-8.16
"147",59.24,0,40.76,"Light","High-lat shelf","Evidenced","Future climate","B",-18.48
"148",62.9,0,37.1,"Marine snow","High-lat shelf","Evidenced","Future climate","B",-25.8
"149",46.48,0,53.52,"MLD","High-lat shelf","Evidenced","Future climate","B",7.04000000000001
"150",31.9,0,68.1,"Nutrients","High-lat shelf","Evidenced","Future climate","B",36.2
"151",45.6,0,54.4,"Other grazers (competition)","High-lat shelf","Evidenced","Future climate","B",8.8
"152",39.8,0,60.2,"POM","High-lat shelf","Evidenced","Future climate","B",20.4
"153",74.48,0,25.52,"Predation risk","High-lat shelf","Evidenced","Future climate","B",-48.96
"154",54.56,0,45.44,"Sea-ice algae","High-lat shelf","Evidenced","Future climate","B",-9.11999999999999
"155",49.66,0,50.34,"Sea-ice concentration","High-lat shelf","Evidenced","Future climate","B",0.68
"156",22.7,0,77.3,"Sea-ice convergence","High-lat shelf","Evidenced","Future climate","B",54.6
"157",45.02,0,54.98,"Sea-ice thickness","High-lat shelf","Evidenced","Future climate","B",9.96
"158",49.84,0,50.16,"Small copepods","High-lat shelf","Evidenced","Future climate","B",0.32
"159",52.56,0,47.44,"Small pelagic algae","High-lat shelf","Evidenced","Future climate","B",-5.12
"160",0,100,0,"Snow","High-lat shelf","Evidenced","Future climate","B",0
"161",100,0,0,"Depth","High-lat shelf","Evidenced","Future climate","B",-100
"162",0,0,100,"Latitude","High-lat shelf","Evidenced","Future climate","B",100
"163",100,0,0,"Autumn primary production","High-lat shelf","Evidenced","Future climate","B",-100
"164",0,0,100,"Temperature","High-lat shelf","Evidenced","Future climate","B",100
"165",0,0,100,"Wind stress","High-lat shelf","Evidenced","Future climate","B",100
"166",63.28,0,36.72,"Growth","High-lat shelf","Evidenced","Future climate","B.2",-26.56
"167",86.98,0,13.02,"Survival","High-lat shelf","Evidenced","Future climate","B.2",-73.96
"168",67.7,0,32.3,"DMS","High-lat shelf","Evidenced","Future climate","B.2",-35.4
"169",0,0,100,"Glacial melt","High-lat shelf","Evidenced","Future climate","B.2",100
"170",70.24,0,29.76,"Large pelagic algae","High-lat shelf","Evidenced","Future climate","B.2",-40.48
"171",53.78,0,46.22,"Light","High-lat shelf","Evidenced","Future climate","B.2",-7.56
"172",59.72,0,40.28,"Marine snow","High-lat shelf","Evidenced","Future climate","B.2",-19.44
"173",49.6,0,50.4,"MLD","High-lat shelf","Evidenced","Future climate","B.2",0.799999999999997
"174",30.3,0,69.7,"Nutrients","High-lat shelf","Evidenced","Future climate","B.2",39.4
"175",48.02,0,51.98,"Other grazers (competition)","High-lat shelf","Evidenced","Future climate","B.2",3.96
"176",20.96,0,79.04,"POM","High-lat shelf","Evidenced","Future climate","B.2",58.08
"177",86.98,0,13.02,"Predation risk","High-lat shelf","Evidenced","Future climate","B.2",-73.96
"178",36.72,0,63.28,"Small copepods","High-lat shelf","Evidenced","Future climate","B.2",26.56
"179",46.18,0,53.82,"Small pelagic algae","High-lat shelf","Evidenced","Future climate","B.2",7.64
"180",0,100,0,"Snow","High-lat shelf","Evidenced","Future climate","B.2",0
"181",100,0,0,"Depth","High-lat shelf","Evidenced","Future climate","B.2",-100
"182",0,0,100,"Latitude","High-lat shelf","Evidenced","Future climate","B.2",100
"183",100,0,0,"Autumn primary production","High-lat shelf","Evidenced","Future climate","B.2",-100
"184",0,0,100,"Temperature","High-lat shelf","Evidenced","Future climate","B.2",100
"185",0,0,100,"Wind stress","High-lat shelf","Evidenced","Future climate","B.2",100
"186",48.74,0,51.26,"Growth","High-lat shelf","Evidenced","Future climate","C",2.51999999999999
"187",31.38,0,68.62,"Survival","High-lat shelf","Evidenced","Future climate","C",37.24
"188",47.36,0,52.64,"DMS","High-lat shelf","Evidenced","Future climate","C",5.28
"189",100,0,0,"Glacial melt","High-lat shelf","Evidenced","Future climate","C",-100
"190",27.22,0,72.78,"Ice terraces","High-lat shelf","Evidenced","Future climate","C",45.56
"191",39.16,0,60.84,"Large pelagic algae","High-lat shelf","Evidenced","Future climate","C",21.68
"192",84.06,0,15.94,"Light","High-lat shelf","Evidenced","Future climate","C",-68.12
"193",58.8,0,41.2,"Marine snow","High-lat shelf","Evidenced","Future climate","C",-17.6
"194",15.1,0,84.9,"MLD","High-lat shelf","Evidenced","Future climate","C",69.8
"195",9.06,0,90.94,"Nutrients","High-lat shelf","Evidenced","Future climate","C",81.88
"196",54.36,0,45.64,"Other grazers (competition)","High-lat shelf","Evidenced","Future climate","C",-8.72
"197",61.76,0,38.24,"POM","High-lat shelf","Evidenced","Future climate","C",-23.52
"198",31.38,0,68.62,"Predation risk","High-lat shelf","Evidenced","Future climate","C",37.24
"199",61.04,0,38.96,"Sea-ice algae","High-lat shelf","Evidenced","Future climate","C",-22.08
"200",50.34,0,49.66,"Sea-ice concentration","High-lat shelf","Evidenced","Future climate","C",-0.68
"201",27.22,0,72.78,"Sea-ice convergence","High-lat shelf","Evidenced","Future climate","C",45.56
"202",26.52,0,73.48,"Sea-ice thickness","High-lat shelf","Evidenced","Future climate","C",46.96
"203",64.86,0,35.14,"Small copepods","High-lat shelf","Evidenced","Future climate","C",-29.72
"204",57.14,0,42.86,"Small pelagic algae","High-lat shelf","Evidenced","Future climate","C",-14.28
"205",0,100,0,"Snow","High-lat shelf","Evidenced","Future climate","C",0
"206",100,0,0,"Depth","High-lat shelf","Evidenced","Future climate","C",-100
"207",0,0,100,"Latitude","High-lat shelf","Evidenced","Future climate","C",100
"208",0,0,100,"Autumn primary production","High-lat shelf","Evidenced","Future climate","C",100
"209",100,0,0,"Temperature","High-lat shelf","Evidenced","Future climate","C",-100
"210",0,0,100,"Wind stress","High-lat shelf","Evidenced","Future climate","C",100
"211",44.28,0,55.72,"Growth","High-lat shelf","Evidenced","Future climate","D",11.44
"212",47.94,0,52.06,"Survival","High-lat shelf","Evidenced","Future climate","D",4.12
"213",51.7,0,48.3,"DMS","High-lat shelf","Evidenced","Future climate","D",-3.40000000000001
"214",100,0,0,"Glacial melt","High-lat shelf","Evidenced","Future climate","D",-100
"215",27.22,0,72.78,"Ice terraces","High-lat shelf","Evidenced","Future climate","D",45.56
"216",42.68,0,57.32,"Large pelagic algae","High-lat shelf","Evidenced","Future climate","D",14.64
"217",82.12,0,17.88,"Light","High-lat shelf","Evidenced","Future climate","D",-64.24
"218",65.54,0,34.46,"Marine snow","High-lat shelf","Evidenced","Future climate","D",-31.08
"219",15.1,0,84.9,"MLD","High-lat shelf","Evidenced","Future climate","D",69.8
"220",9.06,0,90.94,"Nutrients","High-lat shelf","Evidenced","Future climate","D",81.88
"221",58.32,0,41.68,"Other grazers (competition)","High-lat shelf","Evidenced","Future climate","D",-16.64
"222",52.2,0,47.8,"POM","High-lat shelf","Evidenced","Future climate","D",-4.40000000000001
"223",47.94,0,52.06,"Predation risk","High-lat shelf","Evidenced","Future climate","D",4.12
"224",59.22,0,40.78,"Sea-ice algae","High-lat shelf","Evidenced","Future climate","D",-18.44
"225",50.34,0,49.66,"Sea-ice concentration","High-lat shelf","Evidenced","Future climate","D",-0.68
"226",27.22,0,72.78,"Sea-ice convergence","High-lat shelf","Evidenced","Future climate","D",45.56
"227",26.52,0,73.48,"Sea-ice thickness","High-lat shelf","Evidenced","Future climate","D",46.96
"228",66.66,0,33.34,"Small copepods","High-lat shelf","Evidenced","Future climate","D",-33.32
"229",57.78,0,42.22,"Small pelagic algae","High-lat shelf","Evidenced","Future climate","D",-15.56
"230",0,100,0,"Snow","High-lat shelf","Evidenced","Future climate","D",0
"231",100,0,0,"Depth","High-lat shelf","Evidenced","Future climate","D",-100
"232",0,0,100,"Latitude","High-lat shelf","Evidenced","Future climate","D",100
"233",100,0,0,"Autumn primary production","High-lat shelf","Evidenced","Future climate","D",-100
"234",100,0,0,"Temperature","High-lat shelf","Evidenced","Future climate","D",-100
"235",0,0,100,"Wind stress","High-lat shelf","Evidenced","Future climate","D",100
"236",56,0,44,"Growth","Low-lat shelf","Evidenced","Future climate","A",-12
"237",52.6,0.02,47.38,"Survival","Low-lat shelf","Evidenced","Future climate","A",-5.22
"238",43.18,0,56.82,"DMS","Low-lat shelf","Evidenced","Future climate","A",13.64
"239",0,0,100,"Glacial melt","Low-lat shelf","Evidenced","Future climate","A",100
"240",22.7,0,77.3,"Ice terraces","Low-lat shelf","Evidenced","Future climate","A",54.6
"241",47.36,0,52.64,"Large pelagic algae","Low-lat shelf","Evidenced","Future climate","A",5.28
"242",51.4,0,48.6,"Light","Low-lat shelf","Evidenced","Future climate","A",-2.8
"243",57.14,0,42.86,"Marine snow","Low-lat shelf","Evidenced","Future climate","A",-14.28
"244",46.48,0,53.52,"MLD","Low-lat shelf","Evidenced","Future climate","A",7.04000000000001
