"","Negative","No Change","Positive","Node","Region","Model","Scenario"
"1",64.52,0,35.48,"Growth","Open ocean","Evidenced","Historical"
"2",64.5,0.02,35.48,"Survival","Open ocean","Evidenced","Historical"
"3",40.2,0,59.8,"DMS","Open ocean","Evidenced","Historical"
"4",0,100,0,"Ice terraces","Open ocean","Evidenced","Historical"
"5",38.72,0,61.28,"Large pelagic algae","Open ocean","Evidenced","Historical"
"6",14.66,0,85.34,"Light","Open ocean","Evidenced","Historical"
"7",17.64,0,82.36,"Marine snow","Open ocean","Evidenced","Historical"
"8",0,100,0,"MLD","Open ocean","Evidenced","Historical"
"9",100,0,0,"Nutrients","Open ocean","Evidenced","Historical"
"10",39.22,0,60.78,"Other grazers (competition)","Open ocean","Evidenced","Historical"
"11",67,0,33,"POM","Open ocean","Evidenced","Historical"
"12",64.5,0.04,35.46,"Predation risk","Open ocean","Evidenced","Historical"
"13",53.42,0,46.58,"Sea-ice algae","Open ocean","Evidenced","Historical"
"14",0,100,0,"Sea-ice concentration","Open ocean","Evidenced","Historical"
"15",0,100,0,"Sea-ice convergence","Open ocean","Evidenced","Historical"
"16",0,100,0,"Sea-ice thickness","Open ocean","Evidenced","Historical"
"17",38.8,0,61.2,"Small copepods","Open ocean","Evidenced","Historical"
"18",52.28,0,47.72,"Small pelagic algae","Open ocean","Evidenced","Historical"
"19",0,100,0,"Snow","Open ocean","Evidenced","Historical"
"20",0,0,100,"Depth","Open ocean","Evidenced","Historical"
"21",100,0,0,"Latitude","Open ocean","Evidenced","Historical"
"22",0,100,0,"Autumn primary production","Open ocean","Evidenced","Historical"
"23",0,100,0,"Temperature","Open ocean","Evidenced","Historical"
"24",0,100,0,"Wind stress","Open ocean","Evidenced","Historical"
"25",35.16,0,64.84,"Growth","High-lat shelf","Evidenced","Historical"
"26",35.16,0,64.84,"Survival","High-lat shelf","Evidenced","Historical"
"27",59.96,0,40.04,"DMS","High-lat shelf","Evidenced","Historical"
"28",0,100,0,"Glacial melt","High-lat shelf","Evidenced","Historical"
"29",0,100,0,"Ice terraces","High-lat shelf","Evidenced","Historical"
"30",61.38,0,38.62,"Large pelagic algae","High-lat shelf","Evidenced","Historical"
"31",86.44,0,13.56,"Light","High-lat shelf","Evidenced","Historical"
"32",82.98,0,17.02,"Marine snow","High-lat shelf","Evidenced","Historical"
"33",0,100,0,"MLD","High-lat shelf","Evidenced","Historical"
"34",0,0,100,"Nutrients","High-lat shelf","Evidenced","Historical"
"35",61.62,0.02,38.36,"Other grazers (competition)","High-lat shelf","Evidenced","Historical"
"36",33.02,0,66.98,"POM","High-lat shelf","Evidenced","Historical"
"37",35.14,0.02,64.84,"Predation risk","High-lat shelf","Evidenced","Historical"
"38",46.2,0,53.8,"Sea-ice algae","High-lat shelf","Evidenced","Historical"
"39",0,100,0,"Sea-ice concentration","High-lat shelf","Evidenced","Historical"
"40",0,100,0,"Sea-ice convergence","High-lat shelf","Evidenced","Historical"
"41",0,100,0,"Sea-ice thickness","High-lat shelf","Evidenced","Historical"
"42",61.58,0,38.42,"Small copepods","High-lat shelf","Evidenced","Historical"
"43",49,0,51,"Small pelagic algae","High-lat shelf","Evidenced","Historical"
"44",0,100,0,"Snow","High-lat shelf","Evidenced","Historical"
"45",100,0,0,"Depth","High-lat shelf","Evidenced","Historical"
"46",0,0,100,"Latitude","High-lat shelf","Evidenced","Historical"
"47",0,100,0,"Autumn primary production","High-lat shelf","Evidenced","Historical"
"48",0,100,0,"Temperature","High-lat shelf","Evidenced","Historical"
"49",0,100,0,"Wind stress","High-lat shelf","Evidenced","Historical"
"50",15.22,0,84.78,"Growth","Low-lat shelf","Evidenced","Historical"
"51",15.22,0,84.78,"Survival","Low-lat shelf","Evidenced","Historical"
"52",23.56,0,76.44,"DMS","Low-lat shelf","Evidenced","Historical"
"53",0,100,0,"Glacial melt","Low-lat shelf","Evidenced","Historical"
"54",0,100,0,"Ice terraces","Low-lat shelf","Evidenced","Historical"
"55",53.98,0,46.02,"Large pelagic algae","Low-lat shelf","Evidenced","Historical"
"56",28.66,0,71.34,"Light","Low-lat shelf","Evidenced","Historical"
"57",82.22,0,17.78,"Marine snow","Low-lat shelf","Evidenced","Historical"
"58",0,100,0,"MLD","Low-lat shelf","Evidenced","Historical"
"59",0,0,100,"Nutrients","Low-lat shelf","Evidenced","Historical"
"60",24.34,0,75.66,"Other grazers (competition)","Low-lat shelf","Evidenced","Historical"
"61",26.56,0,73.44,"POM","Low-lat shelf","Evidenced","Historical"
"62",15.22,0,84.78,"Predation risk","Low-lat shelf","Evidenced","Historical"
"63",13.9,0.02,86.08,"Sea-ice algae","Low-lat shelf","Evidenced","Historical"
"64",0,100,0,"Sea-ice concentration","Low-lat shelf","Evidenced","Historical"
"65",0,100,0,"Sea-ice convergence","Low-lat shelf","Evidenced","Historical"
"66",0,100,0,"Sea-ice thickness","Low-lat shelf","Evidenced","Historical"
"67",46.92,0,53.08,"Small copepods","Low-lat shelf","Evidenced","Historical"
"68",23.78,0,76.22,"Small pelagic algae","Low-lat shelf","Evidenced","Historical"
"69",0,100,0,"Snow","Low-lat shelf","Evidenced","Historical"
"70",100,0,0,"Depth","Low-lat shelf","Evidenced","Historical"
"71",100,0,0,"Latitude","Low-lat shelf","Evidenced","Historical"
"72",0,100,0,"Autumn primary production","Low-lat shelf","Evidenced","Historical"
"73",0,100,0,"Temperature","Low-lat shelf","Evidenced","Historical"
"74",0,100,0,"Wind stress","Low-lat shelf","Evidenced","Historical"
"75",60.82,0,39.18,"Growth","Open ocean","+ Hypothesised","Historical"
"76",60.82,0,39.18,"Survival","Open ocean","+ Hypothesised","Historical"
"77",42.9,0,57.1,"DMS","Open ocean","+ Hypothesised","Historical"
"78",0,100,0,"Ice terraces","Open ocean","+ Hypothesised","Historical"
"79",39.84,0,60.16,"Large pelagic algae","Open ocean","+ Hypothesised","Historical"
"80",11.94,0,88.06,"Light","Open ocean","+ Hypothesised","Historical"
"81",16.94,0,83.06,"Marine snow","Open ocean","+ Hypothesised","Historical"
"82",0,100,0,"MLD","Open ocean","+ Hypothesised","Historical"
"83",100,0,0,"Nutrients","Open ocean","+ Hypothesised","Historical"
"84",41.6,0.02,58.38,"Other grazers (competition)","Open ocean","+ Hypothesised","Historical"
"85",64.64,0,35.36,"POM","Open ocean","+ Hypothesised","Historical"
"86",60.8,0.04,39.16,"Predation risk","Open ocean","+ Hypothesised","Historical"
"87",56.62,0,43.38,"Sea-ice algae","Open ocean","+ Hypothesised","Historical"
"88",0,100,0,"Sea-ice concentration","Open ocean","+ Hypothesised","Historical"
"89",0,100,0,"Sea-ice convergence","Open ocean","+ Hypothesised","Historical"
"90",0,100,0,"Sea-ice thickness","Open ocean","+ Hypothesised","Historical"
"91",33.72,0,66.28,"Small copepods","Open ocean","+ Hypothesised","Historical"
"92",51.72,0,48.28,"Small pelagic algae","Open ocean","+ Hypothesised","Historical"
"93",0,100,0,"Snow","Open ocean","+ Hypothesised","Historical"
"94",0,0,100,"Depth","Open ocean","+ Hypothesised","Historical"
"95",100,0,0,"Latitude","Open ocean","+ Hypothesised","Historical"
"96",0,100,0,"Autumn primary production","Open ocean","+ Hypothesised","Historical"
"97",0,100,0,"Temperature","Open ocean","+ Hypothesised","Historical"
"98",0,100,0,"Wind stress","Open ocean","+ Hypothesised","Historical"
"99",37.4,0,62.6,"Growth","High-lat shelf","+ Hypothesised","Historical"
"100",37.38,0.04,62.58,"Survival","High-lat shelf","+ Hypothesised","Historical"
"101",60.26,0,39.74,"DMS","High-lat shelf","+ Hypothesised","Historical"
"102",0,100,0,"Glacial melt","High-lat shelf","+ Hypothesised","Historical"
"103",0,100,0,"Ice terraces","High-lat shelf","+ Hypothesised","Historical"
"104",60.16,0,39.84,"Large pelagic algae","High-lat shelf","+ Hypothesised","Historical"
"105",85.92,0,14.08,"Light","High-lat shelf","+ Hypothesised","Historical"
"106",81.84,0,18.16,"Marine snow","High-lat shelf","+ Hypothesised","Historical"
"107",0,100,0,"MLD","High-lat shelf","+ Hypothesised","Historical"
"108",0,0,100,"Nutrients","High-lat shelf","+ Hypothesised","Historical"
"109",59.5,0,40.5,"Other grazers (competition)","High-lat shelf","+ Hypothesised","Historical"
"110",34.52,0,65.48,"POM","High-lat shelf","+ Hypothesised","Historical"
"111",37.4,0.04,62.56,"Predation risk","High-lat shelf","+ Hypothesised","Historical"
"112",45.3,0,54.7,"Sea-ice algae","High-lat shelf","+ Hypothesised","Historical"
"113",0,100,0,"Sea-ice concentration","High-lat shelf","+ Hypothesised","Historical"
"114",0,100,0,"Sea-ice convergence","High-lat shelf","+ Hypothesised","Historical"
"115",0,100,0,"Sea-ice thickness","High-lat shelf","+ Hypothesised","Historical"
"116",64.52,0,35.48,"Small copepods","High-lat shelf","+ Hypothesised","Historical"
"117",49.5,0.02,50.48,"Small pelagic algae","High-lat shelf","+ Hypothesised","Historical"
"118",0,100,0,"Snow","High-lat shelf","+ Hypothesised","Historical"
"119",100,0,0,"Depth","High-lat shelf","+ Hypothesised","Historical"
"120",0,0,100,"Latitude","High-lat shelf","+ Hypothesised","Historical"
"121",0,100,0,"Autumn primary production","High-lat shelf","+ Hypothesised","Historical"
"122",0,100,0,"Temperature","High-lat shelf","+ Hypothesised","Historical"
"123",0,100,0,"Wind stress","High-lat shelf","+ Hypothesised","Historical"
"124",14.8,0,85.2,"Growth","Low-lat shelf","+ Hypothesised","Historical"
"125",14.8,0,85.2,"Survival","Low-lat shelf","+ Hypothesised","Historical"
"126",24.22,0,75.78,"DMS","Low-lat shelf","+ Hypothesised","Historical"
"127",0,100,0,"Glacial melt","Low-lat shelf","+ Hypothesised","Historical"
"128",0,100,0,"Ice terraces","Low-lat shelf","+ Hypothesised","Historical"
"129",53.46,0,46.54,"Large pelagic algae","Low-lat shelf","+ Hypothesised","Historical"
"130",29.28,0,70.72,"Light","Low-lat shelf","+ Hypothesised","Historical"
"131",81.66,0,18.34,"Marine snow","Low-lat shelf","+ Hypothesised","Historical"
"132",0,100,0,"MLD","Low-lat shelf","+ Hypothesised","Historical"
"133",0,0,100,"Nutrients","Low-lat shelf","+ Hypothesised","Historical"
"134",23.28,0,76.72,"Other grazers (competition)","Low-lat shelf","+ Hypothesised","Historical"
"135",26.04,0,73.96,"POM","Low-lat shelf","+ Hypothesised","Historical"
"136",14.8,0.02,85.18,"Predation risk","Low-lat shelf","+ Hypothesised","Historical"
"137",12.54,0,87.46,"Sea-ice algae","Low-lat shelf","+ Hypothesised","Historical"
"138",0,100,0,"Sea-ice concentration","Low-lat shelf","+ Hypothesised","Historical"
"139",0,100,0,"Sea-ice convergence","Low-lat shelf","+ Hypothesised","Historical"
"140",0,100,0,"Sea-ice thickness","Low-lat shelf","+ Hypothesised","Historical"
"141",52.26,0.02,47.72,"Small copepods","Low-lat shelf","+ Hypothesised","Historical"
"142",23.82,0,76.18,"Small pelagic algae","Low-lat shelf","+ Hypothesised","Historical"
"143",0,100,0,"Snow","Low-lat shelf","+ Hypothesised","Historical"
"144",100,0,0,"Depth","Low-lat shelf","+ Hypothesised","Historical"
"145",100,0,0,"Latitude","Low-lat shelf","+ Hypothesised","Historical"
"146",0,100,0,"Autumn primary production","Low-lat shelf","+ Hypothesised","Historical"
"147",0,100,0,"Temperature","Low-lat shelf","+ Hypothesised","Historical"
"148",0,100,0,"Wind stress","Low-lat shelf","+ Hypothesised","Historical"
